5Y Dividend per Share Growth (per Share),5Y Revenue Growth (per Share),Acquisitions and disposals,Capex to Revenue,Deposit Liabilities,Dividends per Share Growth,Earnings Yield,Effect of forex changes on cash,Financing Cash Flow,Free Cash Flow Yield,Graham Net-Net,Inventory Growth,Investment purchases and sales,Issuance (repayment) of debt,Net Cash/Marketcap,Net Income - Non-Controlling int,Other comprehensive income,SG&A Expenses Growth,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,assetTurnover,capitalExpenditureCoverageRatios,currentRatio,debtEquityRatio,dividendpaidAndCapexCoverageRatios,grossProfitMargin,netProfitMargin,operatingProfitMargin,priceEarningsRatio,quickRatio,returnOnAssets,returnOnEquity
0.0,-0.0333,-21.004678297139314,0.0508,0.0,0.0,0.0449,-19.758309935715648,-22.94388136718175,0.0538,-0.1569,0.0,-21.036615656877764,20.974024556071804,-0.0765,18.379858759848776,-23.4900251009255,-0.0809,False,False,False,True,False,False,False,False,False,False,False,0.5136153410520999,4.6575135787568,1.098,0.5277,1.4358139534884,0.49602597283266,0.1609213004793299,1.0,22.2816,0.57591810204745,0.4692,0.1812
0.0,0.052750000000000005,-16.544365222474884,0.049,0.0,0.0,0.0451,14.644436860642294,-17.851623858009816,0.03975,0.0534,0.0,18.750171976504088,-16.43136554646048,0.0956,-15.662814091802957,-17.716990074696415,0.3172,False,False,False,True,False,False,False,False,False,False,False,2.2551319209867,1.0213886767569,0.144,0.7644,1.0213886767569,0.24025978409191,0.035991697098606,1.0,22.1937,0.6457619882680601,0.4578,0.3553
0.0,0.1197,-18.939474543319914,0.0305,0.0,0.0,0.0521,0.0,-21.014441799399833,0.0401,-0.4401,0.0,0.0,-19.67058248303203,-0.3019,16.118095750958314,-20.337603357605015,0.0457,False,False,False,True,False,False,False,False,False,False,False,3.2401097442252005,1.4681994625261,0.763,1.7711,1.3168184252812,0.22156059364472,0.018565055085132,1.0,19.1914,0.15503816205381,0.1233,0.299
0.0,-0.0686,-21.29896698811948,0.0188,0.0,0.0,0.0201,0.0,21.056534376491758,0.075,-0.7386,0.0,17.418995536289927,21.133722467320545,-0.8257,0.0,-17.682138649830847,-0.3158,False,False,False,True,False,False,False,False,False,False,False,1.8418212806409,2.5943522350517,1.518,12.0292,2.5943522350517,0.24034290027601,0.0079664473737108,1.0,49.6875,0.5757555736854301,0.0434,0.2846
0.0,0.0364,20.51056754473075,0.0438,0.0,0.0,0.0451,-15.90737474309945,-21.60703337752823,0.0546,-0.3115,0.0,16.86478364583966,-20.476981594469823,-0.2055,17.489276399648872,-21.683458615490515,-0.0628,False,False,False,True,False,False,False,False,False,False,False,0.7628441021909201,3.813215615947,0.785,1.7101,1.5385728598464,0.3519570611781599,0.10248081578931,1.0,22.1837,0.42365445589966,0.6367,0.3443
0.0,0.0191,-17.529082649058825,0.0156,0.0,0.0,0.0491,-20.68763866033953,-22.41206930494599,0.0488,-0.213,0.0,19.502485917693924,20.846368034964566,-0.1754,19.46095745914108,-22.98074895613265,-0.0509,False,False,False,True,False,False,False,False,False,False,False,2.0339475183848,6.891638225256,1.069,-2.2909,1.0698013245033,0.23073125825517,0.092951582992008,1.0,20.3638,0.4699095160017,0.967,-0.5491
0.0,-0.0098,19.098714291778403,0.0505,0.0,0.0,0.0361,-15.424948670398354,-22.601967236461064,0.0371,-0.1666,0.0,20.918832621312756,21.2336913812913,-0.1304,16.951004817371683,-23.139625944288547,-0.0643,False,False,False,True,False,False,False,False,False,False,False,0.4796951988082999,4.1628787878788,1.2819999999999998,1.982,1.0781115879828,0.60669326135251,0.1559133363590799,1.0,27.6821,0.98209709030605,0.3603,0.283
0.0,0.0543,19.320842097961677,0.0225,0.0,0.0,0.0679,-20.745027329706396,-23.513510275736014,0.0773,-0.2579,0.0,0.0,-21.873204753096516,-0.1912,19.77134793001978,-23.174012281007208,0.0388,False,False,False,True,False,False,False,False,False,False,False,2.4157109143656,2.541228555617,0.932,0.6212,1.6078431372549,0.2512724783772,0.030477257171302,1.0,14.738,0.2217459261208,0.131,0.1824
0.0,-0.037,17.858561843342684,0.0419,0.0,0.0,0.0234,-18.1462439114085,-21.344917016338343,0.0253,-0.402,0.0,0.0,21.25624426594039,-0.2232,16.118095750958314,-23.132190965801694,-0.1361,False,False,False,True,False,False,False,False,False,False,False,0.42125190938932,2.6132596685083,0.588,0.6836,1.3018348623853,0.3897697025807199,0.063071403772711,1.0,42.7143,0.36144829021294,0.7134,0.065
0.0,0.0267,21.870668290101413,0.0073,0.0,0.0,0.1076,0.0,-22.39642944044871,0.0276,-0.1961,0.0,20.42351118460989,20.765367013923818,-0.0706,15.424948670398354,-21.442080764742265,-0.017,False,False,False,True,False,False,False,False,False,False,False,0.5604807106156899,20.243386243386,0.984,1.087,0.8138693894915999,0.44950279676818,0.5530997513983801,1.0,9.2898,0.64,7.726,1.115
