5Y Dividend per Share Growth (per Share),5Y Revenue Growth (per Share),Acquisitions and disposals,Capex to Revenue,Deposit Liabilities,Dividends per Share Growth,Earnings Yield,Effect of forex changes on cash,Financing Cash Flow,Free Cash Flow Yield,Graham Net-Net,Inventory Growth,Investment purchases and sales,Issuance (repayment) of debt,Net Cash/Marketcap,Net Income - Non-Controlling int,Other comprehensive income,SG&A Expenses Growth,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,assetTurnover,capitalExpenditureCoverageRatios,currentRatio,debtEquityRatio,dividendpaidAndCapexCoverageRatios,grossProfitMargin,netProfitMargin,operatingProfitMargin,priceEarningsRatio,quickRatio,returnOnAssets,returnOnEquity
0.0,0.0088,-16.993564429978885,0.0517,0.0,0.0699,0.0533,17.479072229734946,-22.708259327219913,0.0475,-0.2007,-0.0217,-20.506352836625073,21.988239663111994,-0.1163,18.77133762260779,-22.759538883355383,-0.1746,False,False,False,True,False,False,False,False,False,False,False,0.5157209598935301,3.6273388773389,0.937,0.5061,1.2973324658426002,0.47541027674359,0.15648983212591,1.0,18.7566,0.50619699934768,0.5765,0.1664
0.0,0.06395,-19.074334463835445,0.0706,0.0,0.0,0.0123,-16.565897975164106,20.24831177786139,0.04325,0.0534,0.0097,-19.17513305411338,20.244143589323894,0.0956,-16.477110514753072,-14.363201305486934,1.7313,False,False,False,True,False,False,False,False,False,False,False,1.3644774382883,1.9974837546058,0.2102,1.5093,1.9974837546058,0.24865714775014,0.036373151247506,1.0,81.5526,0.8499930725766399,0.0403,0.3294
0.0,0.1038,-21.5751247090878,0.0237,0.0,0.1496,0.0831,0.0,21.031485561350493,0.068,-0.8239,0.0981,0.0,21.461864280888058,-0.5969,16.300417291085605,-19.955395112345702,0.0234,False,False,False,True,False,False,False,False,False,False,False,3.3596871691541,1.5334763948498005,0.825,2.1007,1.3488108720271998,0.20571283354511,0.0154409148665819,1.0,12.034,0.14170948155068,0.1011,0.2821
0.0,-0.0289999999999999,0.0,0.0131,0.0,0.0,0.035,0.0,-19.58435641911712,0.0579,-0.7506,-0.051,17.532856008687265,-19.50395940784011,-0.8822,0.0,-17.435415024359916,-0.006,False,False,False,True,False,False,False,False,False,False,False,3.6755777033152,2.1027525683649,1.709,-2.7237,2.1027525683649,0.28690807439337,0.0097708205222567,1.0,28.6087,0.43688493339055,0.0668,-0.118
0.0,0.0567,18.015715525878356,0.0367,0.0,0.1496,0.0535,-17.189679301485086,-21.324352552205358,0.0565,-0.3229,0.009,17.19309810811699,20.50149634243363,-0.2376,17.423722136111028,-21.016159307194826,-0.022,False,False,False,True,False,False,False,False,False,False,False,0.77377655460842,3.8681686710306,0.81,1.3445,1.5492013169126,0.3556640014294,0.10186715504534,1.0,18.7034,0.4334654743247,0.6265,0.2792
0.0,0.0961,-18.5159909328476,0.0144,0.0,0.0838,0.0584,-19.745099704013743,-22.64590735920859,0.052,-0.2442,-0.1274,-17.182806422433504,21.908361585808375,-0.2195,18.92145603792546,-22.644004687577425,0.0161,False,False,False,True,False,False,False,False,False,False,False,2.2765794185353,6.712055507372099,1.025,-2.3323,1.0766555370061,0.24131775397598,0.0935385614061369,1.0,17.1113,0.37625727898359,1.163,-0.5933
0.0,0.0938,-19.300307495604308,0.0475,0.0,0.0893,0.0384,-20.65498699726378,-22.012773929654017,0.0456,-0.154,-0.054,-22.29479417651502,22.27337828350792,-0.1085,17.073607134447293,-22.47715035391864,-0.0053,False,False,False,True,False,False,False,False,False,False,False,0.49985329754518,4.8625744388456,1.019,1.3768,1.4091331474844,0.61109178659942,0.15431105700248,1.0,26.0617,0.8074689565700899,0.4656,0.2341
0.0,0.0726,0.0,0.026,0.0,0.1496,0.0656,-19.906820442304415,-23.1017929336083,0.045,-0.2575,0.0241,0.0,21.826865667457234,-0.2043,20.327255889094886,-21.820543902935164,0.0307,False,False,False,True,False,False,False,False,False,False,False,2.326210860997,1.8773813367775,0.882,0.7428,1.2553030711934,0.24821853728999,0.033638886905987,1.0,15.2408,0.20128343788305,0.146,0.2101
0.0,-0.0494,-15.76142084987672,0.0477,0.0,0.0741,0.0355,-19.222682333908697,-21.712063259979338,0.0316,-0.4451,-0.0703,0.0,-19.20000562534052,-0.2462,16.648723960844016,-22.713602903680076,-0.0256,False,False,False,True,False,False,False,False,False,False,False,0.51285737820311,2.1785932721713,0.8390000000000001,0.6002,1.3705271258176002,0.3678600630767399,0.063777596075225,1.0,28.1628,0.4556293281930499,0.2885,0.0787
0.0,0.0177,-18.440483381052466,0.0066,0.0,0.087,0.052,0.0,-22.26955093458828,0.0462,-0.2521,0.0857,19.72630720471483,18.974565862925928,-0.1168,0.0,-21.709828622178755,0.085,False,False,False,True,False,False,False,False,False,False,False,0.71129804205946,28.60736196319,0.8959999999999999,4.8749,1.1499383477188998,0.41432183345567,0.20675311964766,1.0,19.2461,0.44897693209957,4.2677,1.6821
